WINDCODE,INDATE,OUTDATE
600664.SH,20150615,20600101
600190.SH,20080701,20110630
000825.SZ,20161212,20181214
600507.SH,20070115,20121231
600216.SH,20070115,20090630
600329.SH,20100104,20600101
600572.SH,20120104,20600101
600006.SH,20130701,20600101
000650.SZ,20100104,20100630
000917.SZ,20100701,20131213
600797.SH,20090105,20160608
000005.SZ,20090105,20111230
600323.SH,20070115,20120629
600388.SH,20151214,20600101
000913.SZ,20070115,20090630
600073.SH,20070702,20600101
600546.SH,20141215,20160608
601886.SH,20120702,20131213
000937.SZ,20160613,20600101
601311.SH,20120104,20191213
600071.SH,20070115,20081231
600699.SH,20131216,20171208
600112.SH,20100104,20170609
002612.SZ,20120702,20150612
002109.SZ,20070702,20071228
600981.SH,20080102,20110630
600479.SH,20070115,20070629
000723.SZ,20161212,20170609
603001.SH,20130104,20180608
600262.SH,20070115,20080630
002477.SZ,20120104,20190614
002585.SZ,20120104,20131213
002032.SZ,20080701,20090630
600790.SH,20070115,20171208
600175.SH,20140616,20170609
002093.SZ,20130426,20600101
002408.SZ,20110104,20600101
002186.SZ,20080701,20100630
600348.SH,20151214,20600101
000973.SZ,20070115,20170609
002638.SZ,20130104,20140613
000619.SZ,20070115,20111230
600826.SH,20070115,20111230
000671.SZ,20130701,20161209
000088.SZ,20100701,20161209
002038.SZ,20070115,20070629
600406.SH,20080102,20100630
600816.SH,20070115,20071228
002662.SZ,20130104,20151211
601588.SH,20130701,20140613
000543.SZ,20100104,20600101
600006.SH,20110701,20120629
300324.SZ,20161212,20600101
002128.SZ,20140616,20600101
002463.SZ,20110701,20111230
600651.SH,20080102,20181214
600061.SH,20070115,20121231
600517.SH,20120104,20181214
300026.SZ,20151214,20600101
000422.SZ,20131216,20151211
601801.SH,20110701,20170609
002727.SZ,20141215,20171208
002088.SZ,20100104,20111230
600819.SH,20070115,20070629
600267.SH,20100104,20101231
002191.SZ,20080701,20600101
000598.SZ,20110701,20131213
600195.SH,20080701,20600101
601880.SH,20120104,20600101
600503.SH,20120104,20141212
000753.SZ,20070115,20080630
002232.SZ,20100104,20130628
603568.SH,20151214,20600101
000571.SZ,20070115,20121231
002440.SZ,20110104,20600101
600435.SH,20110104,20600101
