TRADE_DT,S_DQ_PCTCHANGE,S_DQ_VOLUME
20080220,-0.8556,31477151.0000
20080221,1.2607,31554579.0000
20080222,-2.4139,31199166.0000
20080225,-3.1724,26735589.0000
20080226,-0.0172,25287595.0000
20080227,2.2289,23774898.0000
20080228,0.2426,24117614.0000
20080229,1.3670,25394688.0000
20080303,3.3635,37422561.0000
20080304,-0.6722,43168115.0000
20080305,0.4168,38579300.0000
20080306,0.1838,44758020.0000
20080307,-2.0656,29953784.0000
20080310,-3.2753,23857879.0000
20080311,1.3657,20439510.0000
20080312,-2.6895,22539381.0000
20080313,-3.9408,25924778.0000
20080314,-0.5623,16579345.0000
20080317,-7.7151,21112847.0000
20080318,-7.3512,24330980.0000
20080319,4.7705,25517310.0000
20080320,4.1005,28428386.0000
20080321,1.3366,25717359.0000
20080324,-2.0717,25757548.0000
20080325,1.2228,22386574.0000
20080326,-0.3501,19459637.0000
20080327,-5.3370,21748198.0000
20080328,2.9532,23076199.0000
20080331,-4.6530,19053105.0000
20080401,-8.4030,22753575.0000
20080402,-5.5004,23076090.0000
20080403,2.5208,18938839.0000
20080407,6.5095,21854728.0000
20080408,2.2612,25150057.0000
20080409,-5.4619,24320221.0000
20080410,2.9267,20713312.0000
20080411,1.5488,19907941.0000
20080414,-6.6059,20826898.0000
20080415,3.2171,18137731.0000
20080416,-2.4063,17413194.0000
20080417,-3.3509,17224704.0000
20080418,-4.9443,16732307.0000
20080421,-0.7120,21837805.0000
20080422,-1.4519,19059849.0000
20080423,4.3899,22778040.0000
20080424,9.1882,47085731.0000
20080425,0.8933,42792013.0000
20080428,-0.7126,30778741.0000
20080429,0.8039,25885782.0000
20080430,3.8205,37790831.0000
20080505,3.5095,39172367.0000
20080506,-0.3755,39841700.0000
20080507,-4.3420,37470529.0000
20080508,3.5055,31820528.0000
20080509,0.0262,37449272.0000
20080512,2.0798,37697504.0000
20080513,0.2392,46981037.0000
20080514,2.1969,43683682.0000
20080515,-0.8932,39735067.0000
20080516,-1.4364,30652808.0000
20080519,-0.0457,22805929.0000
20080520,-6.2927,31286546.0000
20080521,2.4866,34400607.0000
20080522,-0.9522,31415975.0000
20080523,-1.0825,29245492.0000
20080526,-2.6346,28323669.0000
20080527,0.3966,20108659.0000
20080528,2.7706,23523875.0000
20080529,-2.5484,24258298.0000
20080530,0.1711,21345458.0000
20080602,0.8660,21008026.0000
20080603,-0.4502,22600917.0000
20080604,-1.7772,20518031.0000
20080605,-1.2578,17225467.0000
20080606,-0.7536,15106070.0000
20080610,-8.7365,18875808.0000
20080611,-2.5921,20126343.0000
20080612,-0.9104,20001540.0000
20080613,-4.7674,17586874.0000
20080616,-2.2097,15780758.0000
20080617,-6.2639,18512967.0000
20080618,5.7520,26356834.0000
20080619,-8.4369,23981574.0000
20080620,2.2746,27585838.0000
20080623,-1.6753,16676657.0000
20080624,3.2673,20244826.0000
20080625,5.7048,28449752.0000
20080626,1.2271,30425738.0000
20080627,-7.0122,26066420.0000
